"filename", "language", "TypeScript", "JSON", "HTML", "Markdown", "JSON with Comments", "TypeScript JSX", "Rust", "CSS", "XML", "Properties", "comment", "blank", "total"
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\package-lock.json", "JSON", 0, 8674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8675
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\package.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\public\tauri.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 3, 30
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src-tauri\tauri.conf.json", "JSON", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\api\spotify\queue.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\api\twitch\login.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\api\user\user.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\components\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 3, 23
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\components\music\settingsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 107, 37, 327
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\components\twitch\settingsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 1, 12, 107
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\configs\firebase.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\store\base.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\store\prefs.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\store\slices.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\user.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\websocket.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
